location,year,quarter,avg_price
bannerughatta,2028,Oct-Dec,12827.908335236722
bannerughatta,2029,Jan-Mar,13172.650078469524
bannerughatta,2029,Apr-Jun,13526.656533175257
bannerughatta,2029,Jul-Sep,13890.176682485098
bannerughatta,2029,Oct-Dec,14263.466200790903
bannerughatta,2030,Jan-Mar,14646.787633568514
bannerughatta,2030,Apr-Jun,15040.410582033703
bannerughatta,2030,Jul-Sep,15444.611892760615
bannerughatta,2030,Oct-Dec,15859.675852396096
basavanagudi,2025,Jan-Mar,10592.610315570499
basavanagudi,2025,Apr-Jun,10653.50874354405
basavanagudi,2025,Jul-Sep,10714.757285268523
basavanagudi,2025,Oct-Dec,10776.357953597826
basavanagudi,2026,Jan-Mar,10838.312772958046
basavanagudi,2026,Apr-Jun,10900.62377941399
basavanagudi,2026,Jul-Sep,10963.293020736088
basavanagudi,2026,Oct-Dec,11026.322556467694
basavanagudi,2027,Jan-Mar,11089.714457992774
basavanagudi,2027,Apr-Jun,11153.470808603974
basavanagudi,2027,Jul-Sep,11217.593703571085
basavanagudi,2027,Oct-Dec,11282.085250209908
basavanagudi,2028,Jan-Mar,11346.947567951498
basavanagudi,2028,Apr-Jun,11412.182788411823
basavanagudi,2028,Jul-Sep,11477.793055461816
basavanagudi,2028,Oct-Dec,11543.78052529783
basavanagudi,2029,Jan-Mar,11610.1473665125
basavanagudi,2029,Apr-Jun,11676.895760166004
basavanagudi,2029,Jul-Sep,11744.027899857752
basavanagudi,2029,Oct-Dec,11811.545991798468
basavanagudi,2030,Jan-Mar,11879.452254882695
basavanagudi,2030,Apr-Jun,11947.748920761718
basavanagudi,2030,Jul-Sep,12016.438233916904
basavanagudi,2030,Oct-Dec,12085.522451733465
begur road,2025,Jan-Mar,7196.519522904997
begur road,2025,Apr-Jun,7362.574225613504
begur road,2025,Jul-Sep,7532.460525555068
begur road,2025,Oct-Dec,7706.266834181561
begur road,2026,Jan-Mar,7884.083602977858
begur road,2026,Apr-Jun,8066.003370534193
begur road,2026,Jul-Sep,8252.12081070466
begur road,2026,Oct-Dec,8442.532781876955
begur road,2027,Jan-Mar,8637.338377378972
begur road,2027,Apr-Jun,8836.6389770485
begur road,2027,Jul-Sep,9040.538299992859
begur road,2027,Oct-Dec,9249.142458565917
begur road,2028,Jan-Mar,9462.5600135906
begur road,2028,Apr-Jun,9680.902030855623
begur road,2028,Jul-Sep,9904.28213891583
begur road,2028,Oct-Dec,10132.816588226258
begur road,2029,Jan-Mar,10366.624311640662
begur road,2029,Apr-Jun,10605.82698630601
begur road,2029,Jul-Sep,10850.549096985143
begur road,2029,Oct-Dec,11100.918000840573
begur road,2030,Jan-Mar,11357.063993713109
begur road,2030,Apr-Jun,11619.120377929828
begur road,2030,Jul-Sep,11887.223531676662
begur road,2030,Oct-Dec,12161.512979971707
bellandur,2025,Jan-Mar,10086.352397797667
bellandur,2025,Apr-Jun,10376.34960952044
bellandur,2025,Jul-Sep,10674.684660284542
bellandur,2025,Oct-Dec,10981.597275015143
bellandur,2026,Jan-Mar,11297.334071075544
bellandur,2026,Apr-Jun,11622.148756434735
bellandur,2026,Jul-Sep,11956.302333532563
bellandur,2026,Oct-Dec,12300.063309006311
bellandur,2027,Jan-Mar,12653.707909447223
bellandur,2027,Apr-Jun,13017.52030336034
bellandur,2027,Jul-Sep,13391.792829506
bellandur,2027,Oct-Dec,13776.82623180649
bellandur,2028,Jan-Mar,14172.929901006602
bellandur,2028,Apr-Jun,14580.422123282282
bellandur,2028,Jul-Sep,14999.63033599713
bellandur,2028,Oct-Dec,15430.891390812272
bellandur,2029,Jan-Mar,15874.551824361031
bellandur,2029,Apr-Jun,16330.96813670587
bellandur,2029,Jul-Sep,16800.507077801383
bellandur,2029,Oct-Dec,17283.54594219352
bellandur,2030,Jan-Mar,17780.472872191815
bellandur,2030,Apr-Jun,18291.687169758283
bellandur,2030,Jul-Sep,18817.599617363558
bellandur,2030,Oct-Dec,19358.632808068105
bellary road,2025,Jan-Mar,8843.540114745963
bellary road,2025,Apr-Jun,9021.094893940703
bellary road,2025,Jul-Sep,9202.214501157461
bellary road,2025,Oct-Dec,9386.970508667535
bellary road,2026,Jan-Mar,9575.435925723188
bellary road,2026,Apr-Jun,9767.68522740841
bellary road,2026,Jul-Sep,9963.79438406892
bellary road,2026,Oct-Dec,10163.84089133305
bellary road,2027,Jan-Mar,10367.903800735361
bellary road,2027,Apr-Jun,10576.06375095511
bellary road,2027,Jul-Sep,10788.402999681894
bellary road,2027,Oct-Dec,11005.005456121073
bellary road,2028,Jan-Mar,11225.956714151818
bellary road,2028,Apr-Jun,11451.344086150886
bellary road,2028,Jul-Sep,11681.25663749548
bellary road,2028,Oct-Dec,11915.78522175884
bellary road,2029,Jan-Mar,12155.022516612466
bellary road,2029,Apr-Jun,12399.06306044916
bellary road,2029,Jul-Sep,12648.00328974137
bellary road,2029,Oct-Dec,12901.941577149577
bellary road,2030,Jan-Mar,13160.978270395812
bellary road,2030,Apr-Jun,13425.215731917637
bellary road,2030,Jul-Sep,13694.758379318277
bellary road,2030,Oct-Dec,13969.712726628886
benson town,2025,Jan-Mar,11217.906129228084
benson town,2025,Apr-Jun,11345.974508089048
benson town,2025,Jul-Sep,11475.504969933692
benson town,2025,Oct-Dec,11606.514206522079
benson town,2026,Jan-Mar,11739.019100174484
benson town,2026,Apr-Jun,11873.036725946924
benson town,2026,Jul-Sep,12008.5843538315
benson town,2026,Oct-Dec,12145.679450981877
benson town,2027,Jan-Mar,12284.339683964163
benson town,2027,Apr-Jun,12424.582921033481
benson town,2027,Jul-Sep,12566.427234436545
benson town,2027,Oct-Dec,12709.890902740508
benson town,2028,Jan-Mar,12854.992413188404
benson town,2028,Apr-Jun,13001.750464081482
benson town,2028,Jul-Sep,13150.18396718874
benson town,2028,Oct-Dec,13300.312050183957
benson town,2029,Jan-Mar,13452.154059110557
benson town,2029,Apr-Jun,13605.729560874608
benson town,2029,Jul-Sep,13761.058345766287
benson town,2029,Oct-Dec,13918.160430010123
benson town,2030,Jan-Mar,14077.056058344362
benson town,2030,Apr-Jun,14237.76570662978
benson town,2030,Jul-Sep,14400.310084488268
benson town,2030,Oct-Dec,14564.710137971557
binny pete,2025,Jan-Mar,9581.265562972181
binny pete,2025,Apr-Jun,9747.37521235404
binny pete,2025,Jul-Sep,9916.364691695357
binny pete,2025,Oct-Dec,10088.283928382205
binny pete,2026,Jan-Mar,10263.183715387835
binny pete,2026,Apr-Jun,10441.11572627929
binny pete,2026,Jul-Sep,10622.132530484187
binny pete,2026,Oct-Dec,10806.287608822191
binny pete,2027,Jan-Mar,10993.635369305739
binny pete,2027,Apr-Jun,11184.23116321471
binny pete,2027,Jul-Sep,11378.131301449783
binny pete,2027,Oct-Dec,11575.393071169301
binny pete,2028,Jan-Mar,11776.07475271458
binny pete,2028,Apr-Jun,11980.235636828638
binny pete,2028,Jul-Sep,12187.936042173455
binny pete,2028,Oct-Dec,12399.237333150919
binny pete,2029,Jan-Mar,12614.201938032744
binny pete,2029,Apr-Jun,12832.89336740469
binny pete,2029,Jul-Sep,13055.376232930557
binny pete,2029,Oct-Dec,13281.716266441497
binny pete,2030,Jan-Mar,13511.98033935626
binny pete,2030,Apr-Jun,13746.236482438133
binny pete,2030,Jul-Sep,13984.553905894412
binny pete,2030,Oct-Dec,14227.003019824328
bommanahalli,2025,Jan-Mar,6087.188863334027
bommanahalli,2025,Apr-Jun,6163.2463124843525
bommanahalli,2025,Jul-Sep,6240.254074776119
bommanahalli,2025,Oct-Dec,6318.224024063587
bommanahalli,2026,Jan-Mar,6397.168182560977
bommanahalli,2026,Apr-Jun,6477.098722696169
bommanahalli,2026,Jul-Sep,6558.0279689875815
bommanahalli,2026,Oct-Dec,6639.968399944491
bommanahalli,2027,Jan-Mar,6722.932649991095
bommanahalli,2027,Apr-Jun,6806.933511414622
bommanahalli,2027,Jul-Sep,6891.98393633778
bommanahalli,2027,Oct-Dec,6978.09703871584
bommanahalli,2028,Jan-Mar,7065.2860963586945
bommanahalli,2028,Apr-Jun,7153.564552978157
