Locality,Start_Price,End_Price,Quarterly_Growth,Quarterly Growth (%),CAGR,CAGR (%)
singasandra,4377.0,6108.0,0.013981668105841116,1.3982,0.05711056583649832,5.71
haralur main road,6540.0,9400.0,0.015230339103565527,1.523,0.06232732111102113,6.23
dommasandra,3600.0,9889.0,0.04300264915289831,4.3003,0.1834274700432057,18.34
sanjay nagar main road,6126.0,11822.0,0.027771132080100847,2.7771,0.1157982101496029,11.58
hbr layout,5200.0,7338.0,0.014453781005047128,1.4454,0.059080716637152975,5.91
domlur,8809.0,11998.0,0.012956806461867032,1.2957,0.05284322772714112,5.28
somasundarapalya main road,6045.0,8993.0,0.01668834587574297,1.6688,0.06844305727071465,6.84
hebbal,7735.0,13446.0,0.0233060290185918,2.3306,0.09653407367607358,9.65
hebbal kempapura,8211.0,7989.0,-0.0011413949138520119,-0.1141,-0.0045577689075712025,-0.46
doddanekundi,5013.0,6908.0,0.013449880968572803,1.345,0.054894684683365336,5.49
hennur bagalur main road,5500.0,8657.0,0.01908059115080185,1.9081,0.07853469750520214,7.85
hennur bande,2929.0,9731.0,0.05129981390251315,5.13,0.22153622365141734,22.15
hennur gardens,5272.0,8842.0,0.021779761248367446,2.178,0.09000674362514549,9.0
doddakannelli chikkanayakana halli road,5058.0,10659.0,0.03154711366763485,3.1547,0.1322863527406022,13.23
doddakannelli chikkanayakana halli road,5058.0,10659.0,0.03154711366763485,3.1547,0.1322863527406022,13.23
dr rajkumar road,8900.0,12657.0,0.014781479022098143,1.4781,0.06044983510656077,6.04
subramanyapura main road,4250.0,6991.0,0.020954212759260793,2.0954,0.08648832024345054,8.65
hal old airport road,6800.0,12486.0,0.02564350482498501,2.5644,0.10658743934355663,10.66
seegehalli,3750.0,8467.0,0.034516516691378785,3.4517,0.14538031624336534,14.54
gottigere,5094.0,6169.0,0.00800996673705301,0.801,0.03242688413142858,3.24
gkvk road,3250.0,7137.0,0.03331963210855782,3.332,0.1400889138169008,14.01
gottigere main road,3500.0,6566.0,0.026560859188407004,2.6561,0.11055176243864917,11.06
seegehalli krishnarajapura,4048.0,7522.0,0.02615319349628109,2.6153,0.1087887330492403,10.88
sarjapura attibele road,3990.0,8476.0,0.03189161989482292,3.1892,0.13379971126953016,13.38
gubbalala,5015.0,6640.0,0.011763592425698688,1.1764,0.0478911929757615,4.79
sarjapura,5594.0,10838.0,0.027940029667344435,2.794,0.11653184462992017,11.65
gunjur,4472.0,10050.0,0.034314654109882436,3.4315,0.14448659725660185,14.45
epip zone,8150.0,14841.0,0.025288449590934903,2.5288,0.10505592985641887,10.51
gunjur balagere road,4400.0,9132.0,0.03089171919406719,3.0892,0.12941149701240162,12.94
electronic city,4633.0,6519.0,0.014331575562241738,1.4332,0.0585704832661178,5.86
sarjapur road,5908.0,10751.0,0.02525921711895207,2.5259,0.10492990820849135,10.49
ecc road,5781.0,13981.0,0.03748215653505338,3.7482,0.15857070880399626,15.86
hennur main road,5431.0,9081.0,0.02165024786491121,2.165,0.0894542033288348,8.95
doddakannelli,5351.0,10607.0,0.028919901330734854,2.892,0.12079521885489597,12.08
hosa road area,4500.0,7210.0,0.01983547449539058,1.9835,0.08173394582833682,8.17
