Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Anand Nagar Prahlad Nagar,Apr-Jun 2024,"5,706 - 8,985","7,345",1%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2024,"5,825 - 9,081","7,453",0.30%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2023,"5,540 - 9,327","7,434",0.50%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2023,"5,470 - 9,250","7,397",0.80%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2023,"5,420 - 9,150","7,338",1.50%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2023,"5,350 - 9,000","7,230",2%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2022,"5,250 - 8,850","7,090",1.50%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2022,"5,180 - 8,770","6,985",1%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2022,"5,120 - 8,690","6,915",2%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2022,"5,020 - 8,600","6,780",1.50%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2021,"4,950 - 8,500","6,680",1%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2021,"4,890 - 8,420","6,615",2%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2021,"4,800 - 8,350","6,490",1.50%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2021,"4,750 - 8,250","6,395",1%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2020,"4,700 - 8,100","6,330",0.50%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2020,"4,620 - 8,020","6,270",-1%,,,
Anand Nagar Prahlad Nagar,Apr-Jun 2020,"4,540 - 7,900","6,205",-2%,,,
Anand Nagar Prahlad Nagar,Jan-Mar 2020,"4,500 - 7,850","6,150",-0.50%,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2019,"4,420 - 7,750","6,120",-1%,,,
