Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Sardar Patel Ring Road,Jan-Mar 2024,"5,710 - 8,988","7,349",1%,,,
Sardar Patel Ring Road,Oct-Dec 2023,"5,638 - 8,961","7,299",3%,,,
Sardar Patel Ring Road,Jul-Sep 2023,"5,538 - 8,702","7,120",7%,,,
Sardar Patel Ring Road,Apr-Jun 2023,"5,161 - 8,102","6,631",32%,,,
Sardar Patel Ring Road,Jan-Mar 2023,"4,414 - 5,662","5,038",1%,,,
Sardar Patel Ring Road,Oct-Dec 2022,"4,323 - 5,640","4,981",0.20%,,,
Sardar Patel Ring Road,Jul-Sep 2022,"4,276 - 5,669","4,973",0.50%,,,
Sardar Patel Ring Road,Apr-Jun 2022,"4,272 - 5,627","4,950",3%,,,
Sardar Patel Ring Road,Jan-Mar 2022,"4,373 - 5,876","5,124",5.00%,,,
Sardar Patel Ring Road,Oct-Dec 2021,"4,163 - 5,550","4,855",9.08%,,,
Sardar Patel Ring Road,Jul-Sep 2021,"3,850 - 5,052","4,451",3%,,,
Sardar Patel Ring Road,Apr-Jun 2021,"3,974 - 5,225","4,600",3%,,,
Sardar Patel Ring Road,Jan-Mar 2021,"4,144 - 5,303","4,724",5.35%,,,
Sardar Patel Ring Road,Oct-Dec 2020,"3,840 - 4,950","4,483",3.60%,,,
Sardar Patel Ring Road,Jul-Sep 2020,"3,750 - 4,800","4,330",2.97%,,,
Sardar Patel Ring Road,Apr-Jun 2020,"3,620 - 4,650","4,135",2.86%,,,
Sardar Patel Ring Road,Jan-Mar 2020,"3,500 - 4,500","4,000",3.23%,,,
Sardar Patel Ring Road,Oct-Dec 2019,"3,380 - 4,400","3,875",2.93%,,,
Sardar Patel Ring Road,Jul-Sep 2019,"3,280 - 4,250","3,770",2.86%,,,
Sardar Patel Ring Road,Apr-Jun 2019,"3,170 - 4,100","3,635",2.98%,,,
Sardar Patel Ring Road,Jan-Mar 2019,"3,060 - 3,950","3,530",2.77%,,,
Sardar Patel Ring Road,Oct-Dec 2018,"2,950 - 3,800","3,435",2.85%,,,
Sardar Patel Ring Road,Jul-Sep 2018,"2,850 - 3,650","3,325",2.94%,,,
Sardar Patel Ring Road,Apr-Jun 2018,"2,750 - 3,500","3,225",3.03%,,,
Sardar Patel Ring Road,Jan-Mar 2018,"2,650 - 3,350","3,100",3.33%,,,
Sardar Patel Ring Road,Oct-Dec 2017,"2,550 - 3,230","3,000",3.09%,,,
Sardar Patel Ring Road,Jul-Sep 2017,"2,450 - 3,100","2,910",3.19%,,,
Sardar Patel Ring Road,Apr-Jun 2017,"2,360 - 2,970","2,825",3.29%,,,
Sardar Patel Ring Road,Jan-Mar 2017,"2,270 - 2,850","2,735",3.40%,,,
Sardar Patel Ring Road,Oct-Dec 2016,"2,180 - 2,740","2,645",3.33%,,,
Sardar Patel Ring Road,Jul-Sep 2016,"2,100 - 2,650","2,560",3.24%,,,
Sardar Patel Ring Road,Apr-Jun 2016,"2,020 - 2,560","2,480",3.09%,,,
Sardar Patel Ring Road,Jan-Mar 2016,"1,950 - 2,480","2,405",3.44%,,,
Sardar Patel Ring Road,Oct-Dec 2015,"1,870 - 2,390","2,325",3.56%,,,
Sardar Patel Ring Road,Jul-Sep 2015,"1,800 - 2,300","2,220",3.74%,,,
Sardar Patel Ring Road,Apr-Jun 2015,"1,720 - 2,200","2,140",4.14%,,,
Sardar Patel Ring Road,Jan-Mar 2015,"1,650 - 2,120","2,055",3.79%,,,
Sardar Patel Ring Road,Oct-Dec 2014,"1,580 - 2,040","1,980",4.21%,,,
,,,,,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2024,"6,016 - 9,041","7,529",1%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2024,"5,950 - 9,009","7,479",1%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2024,"5,836 - 9,012","7,424",0.20%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2024,"5,813 - 9,005","7,409",0.20%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2023,"5,723 - 9,064","7,393",1%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2023,"5,732 - 8,961","7,346",5%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2023,"5,454 - 8,474","6,964",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2023,"5,320 - 8,250","6,785",2%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2022,"5,180 - 8,020","6,600",4%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2022,"4,980 - 7,750","6,365",3%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2022,"4,820 - 7,540","6,180",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2022,"4,680 - 7,250","5,965",4%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2021,"4,500 - 7,000","5,750",5%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2021,"4,320 - 6,720","5,520",4%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2021,"4,150 - 6,500","5,325",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2021,"4,020 - 6,300","5,160",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2020,"3,900 - 6,120","5,010",2%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2020,"3,800 - 5,980","4,890",2%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2020,"3,720 - 5,850","4,785",1%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2020,"3,680 - 5,770","4,725",2%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2019,"3,600 - 5,660","4,630",2%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2019,"3,520 - 5,550","4,535",2%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2019,"3,450 - 5,450","4,450",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2019,"3,350 - 5,300","4,325",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2018,"3,200 - 5,100","4,150",4%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2018,"3,100 - 4,950","4,025",3%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2018,"3,000 - 4,800","3,900",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2018,"2,900 - 4,650","3,775",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2017,"2,800 - 4,500","3,650",4%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2017,"2,700 - 4,350","3,525",3%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2017,"2,600 - 4,200","3,400",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2017,"2,500 - 4,050","3,275",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2016,"2,420 - 3,920","3,170",3%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2016,"2,350 - 3,800","3,075",3%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2016,"2,280 - 3,680","2,980",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2016,"2,210 - 3,560","2,885",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2015,"2,150 - 3,450","2,800",3%,,,
Sarkhej Gandhinagar Highway,Jul-Sep 2015,"2,090 - 3,350","2,720",3%,,,
Sarkhej Gandhinagar Highway,Apr-Jun 2015,"2,030 - 3,250","2,640",3%,,,
Sarkhej Gandhinagar Highway,Jan-Mar 2015,"1,970 - 3,150","2,560",3%,,,
Sarkhej Gandhinagar Highway,Oct-Dec 2014,"1,900 - 3,000","2,450",-,,,
,,,,,,,
Satellite,Oct-Dec 2024,"6,372-8,623","7,498",0.40%,,,
Satellite,Jul-Sep 2024,"6,327-8,727","7,527",1%,,,
Satellite,Apr-Jun 2024,"6,266-8,575","7,420",4%,,,
Satellite,Jan-Mar 2024,"6,393-9,113","7,753",1%,,,
Satellite,Oct-Dec 2023,"6,234-9,098","7,666",2%,,,
Satellite,Jul-Sep 2023,"6,109-8,893","7,501",2%,,,
Satellite,Apr-Jun 2023,"6,180-9,077","7,628",2%,,,
Satellite,Jan-Mar 2023,"6,028-8,929","7,478",2%,,,
Satellite,Oct-Dec 2022,"6,056-8,659","7,357",1%,,,
Satellite,Jul-Sep 2022,"5,953-8,570","7,262",1%,,,
Satellite,Apr-Jun 2022,"5,729-8,589","7,159",1%,,,
Satellite,Jan-Mar 2022,"5,574-8,552","7,063",2%,,,
Satellite,Oct-Dec 2021,"5,342-8,504","6,923",2%,,,
Satellite,Jul-Sep 2021,"5,574-8,521","7,047",2%,,,
Satellite,Apr-Jun 2021,"5,464-8,371","6,918",2%,,,
Satellite,Jan-Mar 2021,"5,430-8,113","6,772",1%,,,
Satellite,Oct-Dec 2020,"5,395-8,345","6,870",3%,,,
Satellite,Jul-Sep 2020,"5,435-8,694","7,065",7%,,,
Satellite,Apr-Jun 2020,"5,785-9,393","7,589",7%,,,
Satellite,Jan-Mar 2020,"5,539-8,601","7,070",,,,
Satellite,Oct-Dec 2019,"5,472-8,655","7,064",3%,,,
Satellite,Jul-Sep 2019,"5,725-8,789","7,257",1%,,,
Satellite,Apr-Jun 2019,"5,623-9,011","7,317",2%,,,
Satellite,Jan-Mar 2019,"5,460-8,950","7,205",0.20%,,,
Satellite,Oct-Dec 2018,"5,464-8,921","7,192",1%,,,
Satellite,Jul-Sep 2018,"5,444-8,808","7,126",4%,,,
Satellite,Apr-Jun 2018,"5,301-8,396","6,848",1%,,,
Satellite,Jan-Mar 2018,"5,215-8,409","6,812",4%,,,
Satellite,Oct-Dec 2017,"5,520-8,698","7,109",3%,,,
Satellite,Jul-Sep 2017,"5,424-8,417","6,920",3%,,,
Satellite,Apr-Jun 2017,"5,796-8,459","7,127",1%,,,
Satellite,Jan-Mar 2017,"5,945-8,477","7,211",2%,,,
Satellite,Oct-Dec 2016,"5,745-8,339","7,042",2%,,,
Satellite,Jul-Sep 2016,"5,445-8,316","6,881",5%,,,
Satellite,Apr-Jun 2016,"5,267-7,880","6,573",2%,,,
Satellite,Jan-Mar 2016,"5,445-7,957","6,701",2%,,,
Satellite,Oct-Dec 2015,"5,441-7,651","6,546",2%,,,
Satellite,Jul-Sep 2015,"5,328-7,554","6,441",5%,,,
Satellite,Apr-Jun 2015,"5,018-7,234","6,126",1%,,,
Satellite,Jan-Mar 2015,"5,057-7,077","6,067",2%,,,
Satellite,Oct-Dec 2014,"4,938-6,921","5,930",16%,,,
,,,,,,,
Satellite Road,Oct-Dec 2024,"6,391 - 8,617","7,504",1%,,,
Satellite Road,Jul-Sep 2024,"6,373 - 8,780","7,577",2%,,,
Satellite Road,Apr-Jun 2024,"6,272 - 8,648","7,460",2%,,,
Satellite Road,Jan-Mar 2024,"6,285 - 8,990","7,638",2%,,,
Satellite Road,Oct-Dec 2023,"6,116 - 8,865","7,490",1%,,,
Satellite Road,Jul-Sep 2023,"6,046 - 8,831","7,439",3%,,,
Satellite Road,Apr-Jun 2023,"6,236 - 9,073","7,654",2%,,,
Satellite Road,Jan-Mar 2023,"6,110 - 8,900","7,505",1%,,,
Satellite Road,Oct-Dec 2022,"6,050 - 8,780","7,415",2%,,,
Satellite Road,Jul-Sep 2022,"5,980 - 8,690","7,335",3%,,,
Satellite Road,Apr-Jun 2022,"5,800 - 8,450","7,125",3%,,,
Satellite Road,Jan-Mar 2022,"5,700 - 8,200","6,950",4%,,,
Satellite Road,Oct-Dec 2021,"5,500 - 7,900","6,700",5%,,,
Satellite Road,Jul-Sep 2021,"5,320 - 7,650","6,485",3%,,,
Satellite Road,Apr-Jun 2021,"5,150 - 7,400","6,275",3%,,,
Satellite Road,Jan-Mar 2021,"5,000 - 7,200","6,100",3%,,,
Satellite Road,Oct-Dec 2020,"4,870 - 7,000","5,935",3%,,,
Satellite Road,Jul-Sep 2020,"4,750 - 6,850","5,800",3%,,,
Satellite Road,Apr-Jun 2020,"4,630 - 6,700","5,665",2%,,,
Satellite Road,Jan-Mar 2020,"4,550 - 6,550","5,550",3%,,,
Satellite Road,Oct-Dec 2019,"4,400 - 6,350","5,375",3%,,,
Satellite Road,Jul-Sep 2019,"4,250 - 6,150","5,200",3%,,,
Satellite Road,Apr-Jun 2019,"4,100 - 5,950","5,025",3%,,,
Satellite Road,Jan-Mar 2019,"4,000 - 5,800","4,900",3%,,,
Satellite Road,Oct-Dec 2018,"3,850 - 5,600","4,725",4%,,,
Satellite Road,Jul-Sep 2018,"3,700 - 5,400","4,550",3%,,,
Satellite Road,Apr-Jun 2018,"3,600 - 5,250","4,425",3%,,,
Satellite Road,Jan-Mar 2018,"3,500 - 5,100","4,300",3%,,,
Satellite Road,Oct-Dec 2017,"3,350 - 4,900","4,125",4%,,,
Satellite Road,Jul-Sep 2017,"3,200 - 4,700","3,950",3%,,,
Satellite Road,Apr-Jun 2017,"3,100 - 4,550","3,825",3%,,,
Satellite Road,Jan-Mar 2017,"3,000 - 4,400","3,700",3%,,,
Satellite Road,Oct-Dec 2016,"2,900 - 4,250","3,575",3%,,,
Satellite Road,Jul-Sep 2016,"2,800 - 4,100","3,450",3%,,,
Satellite Road,Apr-Jun 2016,"2,700 - 3,950","3,325",3%,,,
Satellite Road,Jan-Mar 2016,"2,600 - 3,800","3,200",3%,,,
Satellite Road,Oct-Dec 2015,"2,500 - 3,650","3,075",3%,,,
Satellite Road,Jul-Sep 2015,"2,400 - 3,500","2,950",3%,,,
Satellite Road,Apr-Jun 2015,"2,300 - 3,350","2,825",3%,,,
Satellite Road,Jan-Mar 2015,"2,200 - 3,200","2,700",3%,,,
Satellite Road,Oct-Dec 2014,"2,100 - 3,000","2,550",-,,,
,,,,,,,
Science City,Oct-Dec 2024,"6,740 - 8,921","7,830",2%,,,
Science City,Jul-Sep 2024,"6,593 - 8,735","7,664",0.20%,,,
Science City,Apr-Jun 2024,"6,586 - 8,774","7,680",0.20%,,,
Science City,Jan-Mar 2024,"6,639 - 8,750","7,695",1%,,,
Science City,Oct-Dec 2023,"6,457 - 8,815","7,636",3%,,,
Science City,Jul-Sep 2023,"6,229 - 8,636","7,433",5%,,,
Science City,Apr-Jun 2023,"6,072 - 8,112","7,092",1%,,,
Science City,Jan-Mar 2023,"6,005 - 7,985","6,995",1%,,,
Science City,Oct-Dec 2022,"6,019 - 8,151","7,085",0.30%,,,
Science City,Jul-Sep 2022,"6,065 - 8,143","7,104",1%,,,
Science City,Apr-Jun 2022,"6,025 - 8,108","7,066",1%,,,
Science City,Jan-Mar 2022,"6,018 - 8,213","7,116",5%,,,
Science City,Oct-Dec 2021,"5,820 - 7,774","6,797",3%,,,
Science City,Jul-Sep 2021,"5,629 - 7,612","6,621",6%,,,
Science City,Apr-Jun 2021,"5,363 - 7,167","6,265",4%,,,
Science City,Jan-Mar 2021,"5,138 - 6,938","6,038",2%,,,
Science City,Oct-Dec 2020,"4,887 - 6,993","5,940",2%,,,
Science City,Jul-Sep 2020,"4,920 - 7,151","6,036",2%,,,
Science City,Apr-Jun 2020,"5,122 - 7,256","6,189",1%,,,
Science City,Jan-Mar 2020,"5,227 - 7,001","6,114",0.20%,,,
Science City,Oct-Dec 2019,"5,290 - 6,909","6,099",1%,,,
Science City,Jul-Sep 2019,"5,213 - 6,826","6,020",1%,,,
Science City,Apr-Jun 2019,"5,049 - 7,107","6,078",2%,,,
Science City,Jan-Mar 2019,"4,920 - 7,048","5,984",4%,,,
Science City,Oct-Dec 2018,"4,901 - 6,609","5,755",3%,,,
Science City,Jul-Sep 2018,"4,750 - 6,386","5,568",4%,,,
Science City,Apr-Jun 2018,"4,628 - 6,053","5,340",2%,,,
Science City,Jan-Mar 2018,"4,472 - 6,013","5,242",4%,,,
Science City,Oct-Dec 2017,"4,355 - 5,694","5,024",3%,,,
Science City,Jul-Sep 2017,"4,324 - 6,086","5,205",6%,,,
Science City,Apr-Jun 2017,"4,261 - 5,585","4,923",2%,,,
Science City,Jan-Mar 2017,"4,383 - 5,289","4,836",3%,,,
Science City,Oct-Dec 2016,"4,250 - 5,150","4,700",3%,,,
Science City,Jul-Sep 2016,"4,150 - 5,000","4,575",3%,,,
Science City,Apr-Jun 2016,"4,050 - 4,850","4,450",3%,,,
Science City,Jan-Mar 2016,"3,950 - 4,700","4,325",3%,,,
Science City,Oct-Dec 2015,"3,850 - 4,550","4,200",3%,,,
Science City,Jul-Sep 2015,"3,750 - 4,400","4,075",3%,,,
Science City,Apr-Jun 2015,"3,650 - 4,250","3,950",3%,,,
Science City,Jan-Mar 2015,"3,550 - 4,100","3,825",3%,,,
Science City,Oct-Dec 2014,"3,450 - 3,950","3,700",-,,,
,,,,,,,
Science City Road,Oct-Dec 2024,"6,517 - 8,997","7,757",1%,,,
Science City Road,Jul-Sep 2024,"6,472 - 8,832","7,652",0.40%,,,
Science City Road,Apr-Jun 2024,"6,509 - 8,864","7,686",2%,,,
Science City Road,Jan-Mar 2024,"6,542 - 9,153","7,847",1%,,,
Science City Road,Oct-Dec 2023,"6,399 - 9,104","7,751",2%,,,
Science City Road,Jul-Sep 2023,"6,256 - 8,967","7,611",6%,,,
Science City Road,Apr-Jun 2023,"5,982 - 8,329","7,156",2%,,,
Science City Road,Jan-Mar 2023,"6,004 - 8,050","7,027",1%,,,
Science City Road,Oct-Dec 2022,"6,033 - 8,158","7,095",1%,,,
Science City Road,Jul-Sep 2022,"6,059 - 8,249","7,154",1%,,,
Science City Road,Apr-Jun 2022,"6,086 - 8,122","7,104",1%,,,
Science City Road,Jan-Mar 2022,"6,067 - 8,350","7,209",6%,,,
Science City Road,Oct-Dec 2021,"5,790 - 7,846","6,818",3%,,,
Science City Road,Jul-Sep 2021,"5,648 - 7,632","6,640",6%,,,
Science City Road,Apr-Jun 2021,"5,327 - 7,143","6,235",3%,,,
Science City Road,Jan-Mar 2021,"5,127 - 6,968","6,048",3%,,,
Science City Road,Oct-Dec 2020,"4,916 - 7,119","6,018",1%,,,
Science City Road,Jul-Sep 2020,"4,902 - 7,204","6,053",2%,,,
Science City Road,Apr-Jun 2020,"5,179 - 7,220","6,199",1%,,,
Science City Road,Jan-Mar 2020,"5,252 - 6,989","6,121",0.20%,,,
Science City Road,Oct-Dec 2019,"5,318 - 6,915","6,117",1%,,,
Science City Road,Jul-Sep 2019,"5,262 - 6,825","6,043",1%,,,
Science City Road,Apr-Jun 2019,"5,094 - 7,095","6,095",2%,,,
Science City Road,Jan-Mar 2019,"4,902 - 7,034","5,968",2%,,,
Science City Road,Oct-Dec 2018,"4,910 - 6,765","5,838",4%,,,
Science City Road,Jul-Sep 2018,"4,791 - 6,461","5,626",4%,,,
Science City Road,Apr-Jun 2018,"4,639 - 6,184","5,412",3%,,,
Science City Road,Jan-Mar 2018,"4,472 - 5,987","5,229",2%,,,
Science City Road,Oct-Dec 2017,"4,401 - 5,868","5,135",2%,,,
Science City Road,Jul-Sep 2017,"4,293 - 5,812","5,052",4%,,,
Science City Road,Apr-Jun 2017,"4,252 - 5,480","4,866",4%,,,
Science City Road,Jan-Mar 2017,"4,292 - 5,812","5,052",6%,,,
Science City Road,Oct-Dec 2016,"4,282 - 5,292","4,787",3%,,,
Science City Road,Jul-Sep 2016,"4,150 - 5,000","4,575",3%,,,
Science City Road,Apr-Jun 2016,"4,050 - 4,850","4,450",3%,,,
Science City Road,Jan-Mar 2016,"3,950 - 4,700","4,325",3%,,,
Science City Road,Oct-Dec 2015,"3,850 - 4,550","4,200",3%,,,
Science City Road,Jul-Sep 2015,"3,750 - 4,400","4,075",3%,,,
Science City Road,Apr-Jun 2015,"3,650 - 4,250","3,950",3%,,,
Science City Road,Jan-Mar 2015,"3,550 - 4,100","3,825",3%,,,
Science City Road,Oct-Dec 2014,"3,450 - 3,950","3,700",-,,,
,,,,,,,
Shivranjani Cross Road,Oct-Dec 2024,"6,913 - 10,018","8,465",1%,,,
Shivranjani Cross Road,Jul-Sep 2024,"6,804 - 9,895","8,349",0.20%,,,
Shivranjani Cross Road,Apr-Jun 2024,"6,734 - 9,930","8,332",1%,,,
Shivranjani Cross Road,Jan-Mar 2024,"6,708 - 10,094","8,401",0.40%,,,
Shivranjani Cross Road,Oct-Dec 2023,"6,931 - 9,946","8,438",4%,,,
Shivranjani Cross Road,Jul-Sep 2023,"6,724 - 9,540","8,132",2%,,,
Shivranjani Cross Road,Apr-Jun 2023,"6,756 - 9,202","7,979",12%,,,
Shivranjani Cross Road,Jan-Mar 2023,"6,351 - 7,907","7,129",1%,,,
Shivranjani Cross Road,Oct-Dec 2022,"6,153 - 7,984","7,068",1%,,,
Shivranjani Cross Road,Jul-Sep 2022,"6,030 - 8,000","7,015",5%,,,
Shivranjani Cross Road,Apr-Jun 2022,"5,180 - 8,151","6,665",3%,,,
Shivranjani Cross Road,Jan-Mar 2022,"5,122 - 7,799","6,461",3%,,,
Shivranjani Cross Road,Oct-Dec 2021,"5,007 - 7,517","6,262",0.40%,,,
Shivranjani Cross Road,Jul-Sep 2021,"5,465 - 7,112","6,289",1%,,,
Shivranjani Cross Road,Apr-Jun 2021,"5,441 - 7,202","6,322",1%,,,
Shivranjani Cross Road,Jan-Mar 2021,"5,482 - 7,087","6,284",1%,,,
Shivranjani Cross Road,Oct-Dec 2020,"5,400 - 7,020","6,210",1%,,,
Shivranjani Cross Road,Jul-Sep 2020,"5,350 - 6,980","6,165",2%,,,
Shivranjani Cross Road,Apr-Jun 2020,"5,225 - 6,900","6,062",1%,,,
Shivranjani Cross Road,Jan-Mar 2020,"5,160 - 6,850","6,000",0.50%,,,
Shivranjani Cross Road,Oct-Dec 2019,"5,140 - 6,820","5,970",1%,,,
Shivranjani Cross Road,Jul-Sep 2019,"5,110 - 6,780","5,930",1%,,,
Shivranjani Cross Road,Apr-Jun 2019,"5,050 - 6,725","5,888",1%,,,
Shivranjani Cross Road,Jan-Mar 2019,"5,000 - 6,680","5,840",2%,,,
Shivranjani Cross Road,Oct-Dec 2018,"4,950 - 6,600","5,775",3%,,,
Shivranjani Cross Road,Jul-Sep 2018,"4,850 - 6,550","5,700",4%,,,
Shivranjani Cross Road,Apr-Jun 2018,"4,750 - 6,480","5,615",3%,,,
Shivranjani Cross Road,Jan-Mar 2018,"4,600 - 6,300","5,450",2%,,,
Shivranjani Cross Road,Oct-Dec 2017,"4,500 - 6,200","5,350",2%,,,
Shivranjani Cross Road,Jul-Sep 2017,"4,450 - 6,100","5,275",3%,,,
Shivranjani Cross Road,Apr-Jun 2017,"4,380 - 6,050","5,215",2%,,,
Shivranjani Cross Road,Jan-Mar 2017,"4,350 - 6,000","5,175",2%,,,
Shivranjani Cross Road,Oct-Dec 2016,"4,300 - 5,900","5,100",3%,,,
Shivranjani Cross Road,Jul-Sep 2016,"4,200 - 5,800","5,000",3%,,,
Shivranjani Cross Road,Apr-Jun 2016,"4,100 - 5,700","4,900",2%,,,
Shivranjani Cross Road,Jan-Mar 2016,"4,050 - 5,600","4,825",2%,,,
Shivranjani Cross Road,Oct-Dec 2015,"4,000 - 5,500","4,750",2%,,,
Shivranjani Cross Road,Jul-Sep 2015,"3,950 - 5,450","4,700",2%,,,
Shivranjani Cross Road,Apr-Jun 2015,"3,900 - 5,400","4,650",2%,,,
Shivranjani Cross Road,Jan-Mar 2015,"3,850 - 5,300","4,575",2%,,,
Shivranjani Cross Road,Oct-Dec 2014,"3,800 - 5,200","4,500",-,,,
,,,,,,,
Shyamal,Oct-Dec 2024,"6,037 - 8,569","7,303",2%,,,
Shyamal,Jul-Sep 2024,"6,106 - 8,793","7,449",3%,,,
Shyamal,Apr-Jun 2024,"5,928 - 8,508","7,218",3%,,,
Shyamal,Jan-Mar 2024,"5,745 - 8,246","6,996",5%,,,
Shyamal,Oct-Dec 2023,"5,566 - 7,793","6,679",1%,,,
Shyamal,Jul-Sep 2023,"5,479 - 7,748","6,614",1%,,,
Shyamal,Apr-Jun 2023,"5,348 - 7,709","6,529",4%,,,
Shyamal,Jan-Mar 2023,"5,238 - 7,264","6,251",2%,,,
Shyamal,Oct-Dec 2022,"5,478 - 7,256","6,367",2%,,,
Shyamal,Jul-Sep 2022,"5,467 - 7,053","6,260",1%,,,
Shyamal,Apr-Jun 2022,"5,588 - 6,765","6,177",2%,,,
Shyamal,Jan-Mar 2022,"5,603 - 6,557","6,080",0.20%,,,
Shyamal,Oct-Dec 2021,"5,580 - 6,606","6,093",2%,,,
Shyamal,Jul-Sep 2021,"5,711 - 6,688","6,199",0.20%,,,
Shyamal,Apr-Jun 2021,"5,656 - 6,723","6,189",3%,,,
Shyamal,Jan-Mar 2021,"5,454 - 6,580","6,017",2%,,,
Shyamal,Oct-Dec 2020,"5,340 - 6,470","5,905",1%,,,
Shyamal,Jul-Sep 2020,"5,280 - 6,400","5,840",1%,,,
Shyamal,Apr-Jun 2020,"5,225 - 6,350","5,788",1%,,,
Shyamal,Jan-Mar 2020,"5,180 - 6,290","5,735",1%,,,
Shyamal,Oct-Dec 2019,"5,120 - 6,250","5,685",1%,,,
Shyamal,Jul-Sep 2019,"5,076 - 6,661","5,868",1%,,,
Shyamal,Apr-Jun 2019,"5,232 - 6,574","5,903",1%,,,
Shyamal,Jan-Mar 2019,"5,308 - 6,408","5,858",1%,,,
Shyamal,Oct-Dec 2018,"5,345 - 6,433","5,889",1%,,,
Shyamal,Jul-Sep 2018,"5,230 - 6,300","5,765",1%,,,
Shyamal,Apr-Jun 2018,"5,120 - 6,200","5,660",2%,,,
Shyamal,Jan-Mar 2018,"5,010 - 6,100","5,555",2%,,,
Shyamal,Oct-Dec 2017,"4,900 - 6,000","5,450",2%,,,
Shyamal,Jul-Sep 2017,"4,850 - 5,950","5,400",2%,,,
Shyamal,Apr-Jun 2017,"4,800 - 5,900","5,350",2%,,,
Shyamal,Jan-Mar 2017,"4,750 - 5,850","5,300",2%,,,
Shyamal,Oct-Dec 2016,"4,680 - 5,750","5,215",2%,,,
Shyamal,Jul-Sep 2016,"4,600 - 5,700","5,150",2%,,,
Shyamal,Apr-Jun 2016,"4,500 - 5,650","5,075",2%,,,
Shyamal,Jan-Mar 2016,"4,450 - 5,600","5,025",2%,,,
Shyamal,Oct-Dec 2015,"4,400 - 5,500","4,950",2%,,,
Shyamal,Jul-Sep 2015,"4,350 - 5,450","4,900",2%,,,
Shyamal,Apr-Jun 2015,"4,300 - 5,400","4,850",2%,,,
Shyamal,Jan-Mar 2015,"4,250 - 5,350","4,800",2%,,,
Shyamal,Oct-Dec 2014,"4,200 - 5,300","4,750",-,,,
,,,,,,,
Shayamal Cross Road,Oct-Dec 2024,"6,010 - 8,463","7,236",2%,,,
Shayamal Cross Road,Jul-Sep 2024,"6,030 - 8,679","7,354",3%,,,
Shayamal Cross Road,Apr-Jun 2024,"5,898 - 8,327","7,112",3%,,,
Shayamal Cross Road,Jan-Mar 2024,"5,743 - 8,099","6,921",5%,,,
Shayamal Cross Road,Oct-Dec 2023,"5,581 - 7,654","6,617",1%,,,
Shayamal Cross Road,Jul-Sep 2023,"5,469 - 7,615","6,542",2%,,,
Shayamal Cross Road,Apr-Jun 2023,"5,286 - 7,544","6,415",3%,,,
Shayamal Cross Road,Jan-Mar 2023,"5,269 - 7,196","6,232",0.40%,,,
Shayamal Cross Road,Oct-Dec 2022,"5,236 - 7,177","6,206",1%,,,
Shayamal Cross Road,Jul-Sep 2022,"5,321 - 7,247","6,284",3%,,,
Shayamal Cross Road,Apr-Jun 2022,"5,197 - 6,981","6,089",1%,,,
Shayamal Cross Road,Jan-Mar 2022,"5,272 - 6,800","6,036",2%,,,
Shayamal Cross Road,Oct-Dec 2021,"5,333 - 6,951","6,142",1%,,,
Shayamal Cross Road,Jul-Sep 2021,"5,232 - 6,894","6,063",0.40%,,,
Shayamal Cross Road,Apr-Jun 2021,"5,245 - 6,826","6,036",1%,,,
