,Unnamed: 0,location,year,quarter,avg_price,max_price,min_price,location.1,latitude,longitude,Locality,Risk
178,178,Ambegaon,2026,Jul-Sep,4875.62,5821.920679,3664.246468,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
179,179,Ambegaon,2026,Oct-Dec,4950.26,5911.047428,3720.341766,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
180,180,Ambegaon,2027,Jan-Mar,4968.5,5932.827599,3734.049942,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
181,181,Ambegaon,2027,Apr-Jun,4990.74,5959.384122,3750.764296,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
182,182,Ambegaon,2027,Jul-Sep,5039.06,6017.082467,3787.078937,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
183,183,Ambegaon,2027,Oct-Dec,5148.28,6147.500789,3869.162652,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
184,184,Ambegaon,2028,Jan-Mar,5289.36,6315.962763,3975.190581,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
185,185,Ambegaon,2028,Apr-Jun,5318.52,6350.782377,3997.105625,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
186,186,Ambegaon,2028,Jul-Sep,5353.65,6392.730698,4023.507391,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
187,187,Ambegaon,2028,Oct-Dec,5649.51,6746.013655,4245.859412,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
188,188,Ambegaon,2029,Jan-Mar,5572.95,6654.594257,4188.321148,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
189,189,Ambegaon,2029,Apr-Jun,5378.12,6421.950038,4041.89769,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
190,190,Ambegaon,2029,Jul-Sep,5325.71,6359.367872,4002.509231,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
191,191,Ambegaon,2029,Oct-Dec,5562.48,6642.092153,4180.452475,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
192,192,Ambegaon,2030,Jan-Mar,5739.37,6853.314428,4313.39322,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
193,193,Ambegaon,2030,Apr-Jun,5770.82,6890.868504,4337.029302,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
194,194,Ambegaon,2030,Jul-Sep,5759.47,6877.315602,4328.499269,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
195,195,Ambegaon,2030,Oct-Dec,5881.6475,7023.206322,4420.321124,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
196,196,Ambegaon BK,2024,Jan-Mar,5375.59,6656.588232,4133.937596,Ambegaon BK,18.45740911,73.83144311,Ambegaon BK,Low
197,197,Ambegaon BK,2024,Apr-Jun,5467.19,6770.016429,4204.379852,Ambegaon BK,18.45740911,73.83144311,Ambegaon BK,Low
