location,year,quarter,avg_price,max_price,min_price
Ambawadi,2027,Apr-Jun,6447.259999999999,7573.164275190598,5321.204829644191
Ambawadi,2027,Jul-Sep,6323.109999999998,7427.3335897885945,5218.738420720038
Ambawadi,2027,Oct-Dec,6331.229999999995,7436.871609647345,5225.440210816404
Ambawadi,2028,Jan-Mar,6412.880000000001,7532.780393079277,5292.829516403658
Ambawadi,2028,Apr-Jun,6443.400000000001,7568.63019185873,5318.019003317593
Ambawadi,2028,Jul-Sep,6316.66,7419.757207019021,5213.41495444891
Ambawadi,2028,Oct-Dec,6410.539999999999,7530.031751888451,5290.898212361107
Ambawadi,2029,Jan-Mar,6611.410000000011,7765.980280093863,5456.684982885437
Ambawadi,2029,Apr-Jun,6632.990000000011,7791.328859964788,5474.495897944505
Ambawadi,2029,Jul-Sep,6765.000000000011,7946.392160648786,5583.449507626963
Ambawadi,2029,Oct-Dec,6758.36000000001,7938.592597611577,5577.969226070326
Ambawadi,2030,Jan-Mar,6858.2500000000055,8055.926686736067,5660.412799066163
Ambawadi,2030,Apr-Jun,6920.340000000002,8128.859648931876,5711.658383682355
Ambawadi,2030,Jul-Sep,6974.75,8192.771429783448,5756.565329389668
Ambawadi,2030,Oct-Dec,6969.872499999999,8187.0421573867625,5752.539715942002
Ambli,2024,Jan-Mar,7843.780000000013,9370.362734736837,6317.158701560498
Ambli,2024,Apr-Jun,7798.100000000008,9315.792340141013,6280.369320740623
Ambli,2024,Jul-Sep,7937.330000000006,9482.119749063419,6392.5012272982085
Ambli,2024,Oct-Dec,8015.870833333326,9575.946462436526,6455.755794448153
Ambli,2025,Jan-Mar,7727.374333333338,9231.301807346521,6223.408867922337
Ambli,2025,Apr-Jun,7566.004333333336,9038.52543747071,6093.446031168778
Ambli,2025,Jul-Sep,7356.991833333332,8788.834224676084,5925.11327156691
Ambli,2025,Oct-Dec,7595.7204999999985,9074.025064022258,6117.378591851934
Ambli,2026,Jan-Mar,7688.649999999995,9185.040814560609,6192.221384428555
Ambli,2026,Apr-Jun,7578.369999999992,9053.2977516003,6103.404989577079
Ambli,2026,Jul-Sep,7580.559999999992,9055.913976735257,6105.168753675055
Ambli,2026,Oct-Dec,7705.455999999988,9205.11765456886,6205.756461794109
Ambli,2027,Jan-Mar,7760.439999999992,9270.802824806527,6250.039021229308
Ambli,2027,Apr-Jun,7766.579999999999,9278.13781217121,6254.984003677519
Ambli,2027,Jul-Sep,7847.260000000009,9374.52002399238,6319.961395195634
Ambli,2027,Oct-Dec,7918.180000000006,9459.242711924411,6377.0783585876015
Ambli,2028,Jan-Mar,7939.76,9485.0226838022,6394.458280612396
Ambli,2028,Apr-Jun,7923.750000000003,9465.896763979983,6381.56427914729
Ambli,2028,Jul-Sep,7956.070000000013,9504.506990629225,6407.593893597785
Ambli,2028,Oct-Dec,7938.751666666671,9483.818105258331,6393.646197447045
Ambli,2029,Jan-Mar,7814.840000000008,9335.79033500822,6293.851243571724
Ambli,2029,Apr-Jun,7815.2200000000075,9336.24429188095,6294.157284830732
Ambli,2029,Jul-Sep,8005.829999999995,9563.951448490147,6447.669191093321
Ambli,2029,Oct-Dec,7908.729999999991,9447.953521273552,6369.467595699066
Ambli,2030,Jan-Mar,7843.780000000013,9370.362734736837,6317.158701560498
Ambli,2030,Apr-Jun,7798.100000000008,9315.792340141013,6280.369320740623
Ambli,2030,Jul-Sep,7937.330000000006,9482.119749063419,6392.5012272982085
Ambli,2030,Oct-Dec,8015.870833333326,9575.946462436526,6455.755794448153
Ambli,2024,Jan-Mar,7843.780000000013,9370.362734736837,6317.158701560498
Ambli,2024,Apr-Jun,7798.100000000008,9315.792340141013,6280.369320740623
Ambli,2024,Jul-Sep,7937.330000000006,9482.119749063419,6392.5012272982085
Ambli,2024,Oct-Dec,8015.870833333326,9575.946462436526,6455.755794448153
Ambli,2025,Jan-Mar,7727.374333333338,9231.301807346521,6223.408867922337
Ambli,2025,Apr-Jun,7566.004333333336,9038.52543747071,6093.446031168778
Ambli,2025,Jul-Sep,7356.991833333332,8788.834224676084,5925.11327156691
Ambli,2025,Oct-Dec,7595.7204999999985,9074.025064022258,6117.378591851934
Ambli,2026,Jan-Mar,7688.649999999995,9185.040814560609,6192.221384428555
