location,quarter,year,avg_price
Babrekar Nagar Kandivali West,Jul-Sep,2028,12459.44667
Babrekar Nagar Kandivali West,Oct-Dec,2028,12713.46667
Babrekar Nagar Kandivali West,Jan-Mar,2029,13159.46
Babrekar Nagar Kandivali West,Apr-Jun,2029,13185.72
Babrekar Nagar Kandivali West,Jul-Sep,2029,13240.80667
Babrekar Nagar Kandivali West,Oct-Dec,2029,13725.16667
Babrekar Nagar Kandivali West,Jan-Mar,2030,13832.6
Babrekar Nagar Kandivali West,Apr-Jun,2030,13703.39
Babrekar Nagar Kandivali West,Jul-Sep,2030,13375.20467
Babrekar Nagar Kandivali West,Oct-Dec,2030,13567.32467
Bandra,Jan-Mar,2024,38273.86
Bandra,Apr-Jun,2024,38315.555
Bandra,Jul-Sep,2024,37630.9395
Bandra,Oct-Dec,2024,38907.7
Bandra,Jan-Mar,2025,38919.788
Bandra,Apr-Jun,2025,38371.588
Bandra,Jul-Sep,2025,34868.497
Bandra,Oct-Dec,2025,35894.1725
Bandra,Jan-Mar,2026,34288.068
Bandra,Apr-Jun,2026,34286.318
Bandra,Jul-Sep,2026,33783.178
Bandra,Oct-Dec,2026,33857.618
Bandra,Jan-Mar,2027,32700.32
Bandra,Apr-Jun,2027,32750.86
Bandra,Jul-Sep,2027,32674.19
Bandra,Oct-Dec,2027,32686.13
Bandra,Jan-Mar,2028,34366.07
Bandra,Apr-Jun,2028,34524.96
Bandra,Jul-Sep,2028,34543.78
Bandra,Oct-Dec,2028,33658.22
Bandra,Jan-Mar,2029,34490.95
Bandra,Apr-Jun,2029,35065.52
Bandra,Jul-Sep,2029,35397.66
Bandra,Oct-Dec,2029,35106.3
Bandra,Jan-Mar,2030,38273.86
Bandra,Apr-Jun,2030,38315.555
Bandra,Jul-Sep,2030,37630.9395
Bandra,Oct-Dec,2030,38907.7
Bandra East,Jan-Mar,2024,35120.31
Bandra East,Apr-Jun,2024,35538.11
Bandra East,Jul-Sep,2024,34792.382
Bandra East,Oct-Dec,2024,35444.37
Bandra East,Jan-Mar,2025,34823.39
Bandra East,Apr-Jun,2025,34713.84
Bandra East,Jul-Sep,2025,31164.667
Bandra East,Oct-Dec,2025,31428.2
Bandra East,Jan-Mar,2026,31552.21
Bandra East,Apr-Jun,2026,31643.58
Bandra East,Jul-Sep,2026,31484.55
Bandra East,Oct-Dec,2026,31504.34
Bandra East,Jan-Mar,2027,30599.74
Bandra East,Apr-Jun,2027,30192.74
Bandra East,Jul-Sep,2027,29435.73
Bandra East,Oct-Dec,2027,29538.3
Bandra East,Jan-Mar,2028,31130.52
Bandra East,Apr-Jun,2028,32259.26
Bandra East,Jul-Sep,2028,31838.86
Bandra East,Oct-Dec,2028,30063.49
Bandra East,Jan-Mar,2029,29504.56
Bandra East,Apr-Jun,2029,29504.42
Bandra East,Jul-Sep,2029,29935.82
Bandra East,Oct-Dec,2029,29924.59
Bandra East,Jan-Mar,2030,35120.31
Bandra East,Apr-Jun,2030,35538.11
Bandra East,Jul-Sep,2030,34792.382
Bandra East,Oct-Dec,2030,35444.37
Bandra Kurla Complex,Jan-Mar,2024,36717.03
Bandra Kurla Complex,Apr-Jun,2024,37751.95
Bandra Kurla Complex,Jul-Sep,2024,37566.97
Bandra Kurla Complex,Oct-Dec,2024,38119.09
Bandra Kurla Complex,Jan-Mar,2025,38712.54
Bandra Kurla Complex,Apr-Jun,2025,39220.65
Bandra Kurla Complex,Jul-Sep,2025,35249.89
Bandra Kurla Complex,Oct-Dec,2025,35254
Bandra Kurla Complex,Jan-Mar,2026,32035.15
Bandra Kurla Complex,Apr-Jun,2026,32317.37
Bandra Kurla Complex,Jul-Sep,2026,32130.38
Bandra Kurla Complex,Oct-Dec,2026,32153.47
Bandra Kurla Complex,Jan-Mar,2027,29828.16
Bandra Kurla Complex,Apr-Jun,2027,29522.01
Bandra Kurla Complex,Jul-Sep,2027,28573.92
Bandra Kurla Complex,Oct-Dec,2027,28749.74
Bandra Kurla Complex,Jan-Mar,2028,30320.34
Bandra Kurla Complex,Apr-Jun,2028,32488
Bandra Kurla Complex,Jul-Sep,2028,32554.42
Bandra Kurla Complex,Oct-Dec,2028,29784.66
Bandra Kurla Complex,Jan-Mar,2029,27794.11
Bandra Kurla Complex,Apr-Jun,2029,27888.92
Bandra Kurla Complex,Jul-Sep,2029,28939.4
Bandra Kurla Complex,Oct-Dec,2029,31977.12
Bandra Kurla Complex,Jan-Mar,2030,36717.03
Bandra Kurla Complex,Apr-Jun,2030,37751.95
Bandra Kurla Complex,Jul-Sep,2030,37566.97
