location,quarter,year,predicted_price,Locality,Risk
Antop Hill Road,Jan-Mar,2024,13139.2275,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2024,13341.7375,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2024,13492.22183,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2024,9754.205333,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2025,14406.77167,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2025,14103.70167,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2025,15423.3675,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2025,8138.327,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2026,6030.585,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2026,5925.585,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2026,6170.141667,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2026,6377.5,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2027,7322.5,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2027,7517.5,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2027,7767.056667,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2027,8417.5,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2028,9590,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2028,9591.17,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2028,10433.94417,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2028,10015,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2029,11410,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2029,11706.17,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2029,12275.7175,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2029,11941.44,Antop Hill Road,Moderate
Antop Hill Road,Jan-Mar,2030,13139.2275,Antop Hill Road,Moderate
Antop Hill Road,Apr-Jun,2030,13341.7375,Antop Hill Road,Moderate
Antop Hill Road,Jul-Sep,2030,13492.22183,Antop Hill Road,Moderate
Antop Hill Road,Oct-Dec,2030,9754.205333,Antop Hill Road,Moderate
Azad Nagar Andheri West,Jan-Mar,2024,21637.6,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Apr-Jun,2024,22275.08,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jul-Sep,2024,22341.625,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Oct-Dec,2024,21320.275,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jan-Mar,2025,21250.6635,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Apr-Jun,2025,21230.8635,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jul-Sep,2025,20251.6615,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Oct-Dec,2025,15274.189,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jan-Mar,2026,13505.42,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Apr-Jun,2026,13425,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jul-Sep,2026,13764.2,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Oct-Dec,2026,14062.5,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Jan-Mar,2027,14905.42,Azad Nagar Andheri West,Moderate
Azad Nagar Andheri West,Apr-Jun,2027,15040,Azad Nagar Andheri West,Moderate
