,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
5460,AnjanaPura,Jul-Sep,2030,4010.745638,6081.85762,5046.228667,12.8580811,77.5580713,Moderate
5488,AnjanaPura,Oct-Dec,2030,4560.462594,6915.443332,5737.87,12.8580811,77.5580713,Moderate
5544,Arekere,Jan-Mar,2024,4772.596449,7895.342303,6333.93,12.8872086,77.5960493,Moderate
5572,Arekere,Apr-Jun,2024,4876.420783,8067.099682,6471.72,12.8872086,77.5960493,Moderate
5600,Arekere,Jul-Sep,2024,4547.313442,7522.654926,6034.946667,12.8872086,77.5960493,Moderate
5628,Arekere,Oct-Dec,2024,4279.779354,7080.071266,5679.89,12.8872086,77.5960493,Moderate
5656,Arekere,Jan-Mar,2025,6049.395644,10007.56084,8028.428333,12.8872086,77.5960493,Moderate
5684,Arekere,Apr-Jun,2025,6229.707446,10305.85202,8267.728333,12.8872086,77.5960493,Moderate
5712,Arekere,Jul-Sep,2025,5195.121076,8594.327981,6894.681667,12.8872086,77.5960493,Moderate
5740,Arekere,Oct-Dec,2025,3736.292106,6180.976212,4958.603333,12.8872086,77.5960493,Moderate
5768,Arekere,Jan-Mar,2026,4595.087656,7601.688167,6098.35,12.8872086,77.5960493,Moderate
5796,Arekere,Apr-Jun,2026,4547.941356,7523.693689,6035.78,12.8872086,77.5960493,Moderate
5824,Arekere,Jul-Sep,2026,4516.882215,7472.312317,5994.56,12.8872086,77.5960493,Moderate
5852,Arekere,Oct-Dec,2026,4669.774266,7725.24279,6197.47,12.8872086,77.5960493,Moderate
5880,Arekere,Jan-Mar,2027,4548.709923,7524.965134,6036.8,12.8872086,77.5960493,Moderate
5908,Arekere,Apr-Jun,2027,4432.927594,7333.425553,5883.14,12.8872086,77.5960493,Moderate
5936,Arekere,Jul-Sep,2027,4403.804939,7285.247727,5844.49,12.8872086,77.5960493,Moderate
5964,Arekere,Oct-Dec,2027,4484.414035,7418.599962,5951.47,12.8872086,77.5960493,Moderate
5992,Arekere,Jan-Mar,2028,4634.246888,7666.469581,6150.32,12.8872086,77.5960493,Moderate
6020,Arekere,Apr-Jun,2028,4877.897637,8069.542852,6473.68,12.8872086,77.5960493,Moderate
