Locality,Risk,location,year,quarter,avg_price,max_price,min_price,Location,Latitude,Longitude
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2029,Apr-Jun,4682.66,6317.188688,3514.179353,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2029,Jul-Sep,4751.84,6410.51665,3566.096624,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2029,Oct-Dec,4830.2,6516.228982,3624.903177,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2030,Jan-Mar,4852.56,6546.39396,3641.683608,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2030,Apr-Jun,4888.98,6595.526721,3669.015597,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2030,Jul-Sep,4903.76,6615.465826,3680.107491,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2030,Oct-Dec,5025.73,6780.010658,3771.641887,Dashrathpuri Metro Road,28.60243117,77.08255153
Dilshad Garden,Moderate,Dilshad Garden,2024,Jan-Mar,7897.46,9967.084684,5827.639751,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2024,Apr-Jun,7972.28,10061.51217,5882.850415,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2024,Jul-Sep,7797.35,9840.739651,5753.767264,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2024,Oct-Dec,7923.55,10000.01188,5846.891906,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2025,Jan-Mar,8124.54,10253.67374,5995.205074,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2025,Apr-Jun,8188.06,10333.83992,6042.077319,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2025,Jul-Sep,8135.11,10267.01373,6003.004816,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2025,Oct-Dec,8072.62,10188.14748,5956.892622,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2026,Jan-Mar,7303.74,9217.773194,5389.525943,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2026,Apr-Jun,8223.79,10378.9334,6068.442956,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2026,Jul-Sep,7806.51,9852.300139,5760.526548,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2026,Oct-Dec,7708.61,9728.744263,5688.284849,Dilshad Garden,28.6758864,77.32144601
Dilshad Garden,Moderate,Dilshad Garden,2027,Jan-Mar,7288.73,9198.829643,5378.449867,Dilshad Garden,28.6758864,77.32144601
